id,proficiency,armor-class,ac-slashing,ac-piercing,ac-crushing,weight,property,amp,param-name,param-value
arm-type-leather,light,1,,-1,,5,,,,
arm-type-studded-leather,light,2,1,-1,,6,,,,
arm-type-hide,medium,2,1,-1,,6,ac-senses-cap,2,,
arm-type-chain-shirt,medium,3,1,-2,-1,10,ac-senses-cap,2,,
arm-type-scale-mail,medium,4,2,-1,,22,ac-senses-cap,2,,
,,,,,,,skill-modifier,-4,skill,SKILL_STEALTH
arm-type-breast-plate,medium,4,2,-1,,10,ac-senses-cap,2,,
arm-type-half-plate,medium,5,2,-1,,20,ac-senses-cap,2,,
,,,,,,,skill-modifier,-4,skill,SKILL_STEALTH
arm-type-ring-mail,heavy,4,1,-2,-2,20,ac-senses-cap,0,,
,,,,,,,skill-modifier,-4,skill,SKILL_STEALTH
arm-type-chain-mail,heavy,6,1,-2,-1,27,ac-senses-cap,0,,
,,,,,,,skill-modifier,-4,skill,SKILL_STEALTH
arm-type-splint,heavy,7,2,-2,-1,30,ac-senses-cap,0,,
,,,,,,,skill-modifier,-6,skill,SKILL_STEALTH
arm-type-plate,heavy,8,3,-2,-1,32,ac-senses-cap,0,,
,,,,,,,skill-modifier,-6,skill,SKILL_STEALTH
