id,damages,damage-type,alt-damage-type,attributes,property,amp,param-name,param-value
nw-bite-1d4,1d4,piercing,,,,,,
nw-bite-1d6,1d6,piercing,,,,,,
nw-bite-1d8,1d8,piercing,,,,,,
nw-bite-1d10,1d10,piercing,,,,,,
nw-bite-2d4,2d4,piercing,,,,,,
nw-bite-2d6,2d6,piercing,,,,,,
nw-bite-2d8,2d8,piercing,,,,,,
nw-bite-2d10,2d10,piercing,,,,,,
nw-bite-2d12,2d12,piercing,,,,,,
,,,,,,,,
nw-bite-dragon,2d10,piercing,,,damage-modifier,4d6,damageType,DAMAGE_TYPE_FIRE
,,,,,,,,
nw-bite-venom,1d6,piercing,,,ailment,1d4,ailment,AILMENT_POISON
,,,,,,,chance,17
,,,,,,,dc,12
,,,,,,,duration,6
,,,,,,,subtype,EFFECT_SUBTYPE_EXTRAORDINARY
,,,,,,,,
nw-gaze-petr,1d1,radiant,,,ailment,,ailment,AILMENT_PETRIFICATION
,,,,,,,chance,8
,,,,,,,dc,12
,,,,,,,subtype,EFFECT_SUBTYPE_EXTRAORDINARY
,,,,,,,,
nw-hooves-stun,2d6,crushing,,,ailment,1d4,ailment,AILMENT_STUN
,,,,,,,chance,5
,,,,,,,dc,12
,,,,,,,duration,2
,,,,,,,subtype,EFFECT_SUBTYPE_EXTRAORDINARY
,,,,,,,,
nw-bite-cockatrice,1d4,piercing,,,ailment,,ailment,AILMENT_PETRIFICATION
,,,,,,,chance,15
,,,,,,,dc,12
,,,,,,,subtype,EFFECT_SUBTYPE_EXTRAORDINARY
,,,,,,,,
nw-claws-1d4,1d4,slashing,,,,,,
nw-claws-1d6,1d6,slashing,,,,,,
nw-claws-1d8,1d8,slashing,,,,,,
nw-claws-1d10,1d10,slashing,,,,,,
nw-claws-2d6,2d6,slashing,,,,,,
nw-claws-2d8,2d8,slashing,,,,,,
nw-claws-2d10,2d10,slashing,,,,,,
nw-claws-2d12,2d12,slashing,,,,,,
,,,,,,,,
nw-ghoul-claw,2d6,slashing,,,ailment,,ailment,AILMENT_PARALYSIS
,,,,,,,chance,2
,,,,,,,dc,14
,,,,,,,duration,6
,,,,,,,subtype,EFFECT_SUBTYPE_SUPERNATURAL
,,,,,,,,
nw-horns,1d12,crushing,piercing,,,,,
,,,,,,,,
nw-rotting-fist,2d6,crushing,,,damage-modifier,3d6,damageType,DAMAGE_TYPE_NECROTIC
,,,,,ailment,,ailment,AILMENT_DISEASE
,,,,,,,disease,DISEASE_MUMMY_ROT
,,,,,,,chance,4
,,,,,,,dc,14
,,,,,,,subtype,EFFECT_SUBTYPE_SUPERNATURAL
,,,,,,,,
nw-gore,2d8,piercing,,,,,,
,,,,,,,,
nw-snake-hair,1d4+2,piercing,,,ailment,1d4,ailment,AILMENT_POISON
,,,,,,,chance,2
,,,,,,,dc,12
,,,,,,,duration,6
,,,,,,,subtype,EFFECT_SUBTYPE_EXTRAORDINARY
,,,,,,,,
nw-manticore-spike,1d8,piercing,,ranged,,,,
,,,,,,,,
nw-stinger,2d6,piercing,,,ailment,1d6,ailment,AILMENT_POISON
,,,,,,,chance,2
,,,,,,,dc,16
,,,,,,,duration,6
,,,,,,,subtype,EFFECT_SUBTYPE_EXTRAORDINARY
,,,,,,,,
nw-ghost-touch,4d6,necrotic,,,,,,
,,,,,,,,
nw-golem-slam,2d10,crushing,,,,,,
,,,,,,,,
nw-beast-tail,2d8,crushing,,,,,,
