ammunition,type,property,amp,propParamName,propParamValue
"output(); id(value); c={ entityType: ""ENTITY_TYPE_ITEM"", extends: [], properties: [] }",c.extends.push(value),"c.properties.push({ type: ref(value, 'property') })",last(c.properties).amp = value,,kv(last(c.properties))
ammo-arrow,ammo-type-arrow,,,,
ammo-quarrel,ammo-type-quarrel,,,,
ammo-arrow-hq,ammo-type-arrow,attack-modifier,1,,
ammo-quarrel-hq,ammo-type-quarrel,attack-modifier,1,,
ammo-arrow-p1,ammo-type-arrow,attack-modifier,1,,
,,weapon-damage-modifier,1,,
ammo-quarrel-p1,ammo-type-quarrel,attack-modifier,1,,
,,weapon-damage-modifier,1,,
ammo-arrow-p2,ammo-type-arrow,attack-modifier,2,,
,,weapon-damage-modifier,2,,
ammo-quarrel-p2,ammo-type-quarrel,attack-modifier,2,,
,,weapon-damage-modifier,2,,
ammo-arrow-fire,ammo-type-arrow,damage-modifier,1d4,damageType,DAMAGE_TYPE_FIRE
ammo-quarrel-fire,ammo-type-quarrel,damage-modifier,1d4,damageType,DAMAGE_TYPE_FIRE
