armor-type,proficiency,armorClass,ac-slashing,ac-piercing,ac-crushing,weight,property,amp,propParamName,propParamValue
"output(); id(value); c={ entityType: ""ENTITY_TYPE_PARTIAL_ITEM"", itemType: ""ITEM_TYPE_ARMOR"", proficiency: """", armorClass: """", weight: 0, properties: [], equipmentSlots: ['EQUIPMENT_SLOT_CHEST'] }","c.proficiency=ref(value, 'PROFICIENCY_ARMOR')",c.armorClass=value,"c.properties.push({ type: 'PROPERTY_ARMOR_CLASS_MODIFIER', amp: value, damageType: 'DAMAGE_TYPE_SLASHING' })","c.properties.push({ type: 'PROPERTY_ARMOR_CLASS_MODIFIER', amp: value, damageType: 'DAMAGE_TYPE_PIERCING' })","c.properties.push({ type: 'PROPERTY_ARMOR_CLASS_MODIFIER', amp: value, damageType: 'DAMAGE_TYPE_CRUSHING' })","c.weight=parseFloat(value.toString().replace(/,/g, '.'))","c.properties.push({ type: ref(value, 'property') })",last(c.properties).amp = value,,kv(last(c.properties))
arm-type-leather,light,1,,-1,,10,,,,
arm-type-studded-leather,light,2,1,-1,,12,,,,
arm-type-hide,medium,2,1,-1,,12,max-dexterity-bonus,2,,
arm-type-chain-shirt,medium,3,1,-2,-1,20,max-dexterity-bonus,2,,
arm-type-scale-mail,medium,4,2,-1,,45,max-dexterity-bonus,2,,
,,,,,,,skill-modifier,-4,skill,SKILL_STEALTH
arm-type-breast-plate,medium,4,2,-1,,20,max-dexterity-bonus,2,,
arm-type-half-plate,medium,5,2,-1,,40,max-dexterity-bonus,2,,
,,,,,,,skill-modifier,-4,skill,SKILL_STEALTH
arm-type-ring-mail,heavy,4,1,-2,-2,40,max-dexterity-bonus,0,,
,,,,,,,skill-modifier,-4,skill,SKILL_STEALTH
arm-type-chain-mail,heavy,6,1,-2,-1,55,max-dexterity-bonus,0,,
,,,,,,,skill-modifier,-4,skill,SKILL_STEALTH
arm-type-splint,heavy,7,2,-2,-1,60,max-dexterity-bonus,0,,
,,,,,,,skill-modifier,-6,skill,SKILL_STEALTH
arm-type-plate,heavy,8,3,-2,-1,65,max-dexterity-bonus,0,,
,,,,,,,skill-modifier,-6,skill,SKILL_STEALTH
