gear-types,item-type,weight,slot,property,amp,propParamName,propParamValue
"output(); id(value); c={ entityType: ""ENTITY_TYPE_PARTIAL_ITEM"", itemType: """", weight: 0, properties: [], equipmentSlots: [] }","c.itemType=ref(value, 'ITEM_TYPE')","c.weight=parseFloat(value.toString().replace(/,/g, '.'))","c.equipmentSlots.push(ref(value, 'equipment_slot'))","c.properties.push({ type: ref(value, 'property') })",last(c.properties).amp = value,,kv(last(c.properties))
gear-type-helm,helm,6,head,,,,
gear-type-hat,hat,1,head,,,,
gear-type-necklace,necklace,"0,4",neck,,,,
gear-type-bracers,bracers,3,arms,,,,
gear-type-gauntlets,gauntlets,3,arms,,,,
gear-type-gloves,gloves,1,arms,,,,
gear-type-ring,ring,"0,01",finger-left,,,,
,,,finger-right,,,,
gear-type-belt,belt,1,waist,,,,
gear-type-boots,boots,4,feet,,,,
gear-type-torch,torch,1,shield,light,,,
