gear,type,property,amp,propParamName,propParamValue
"output(); id(value); c={ entityType: ""ENTITY_TYPE_ITEM"", extends: [], properties: [] }",c.extends.push(value),"c.properties.push({ type: ref(value, 'property') })",last(c.properties).amp = value,,kv(last(c.properties))
gear-helm,gear-type-helm,,,,
gear-hat,gear-type-hat,,,,
gear-necklace,gear-type-necklace,,,,
gear-bracers,gear-type-bracers,,,,
gear-gauntlets,gear-type-gauntlets,,,,
gear-gloves,gear-type-gloves,,,,
gear-ring,gear-type-ring,,,,
gear-belt,gear-type-belt,,,,
gear-boots,gear-type-boots,,,,
gear-torch,gear-type-torch,,,,
