monster,specie,ac,level,hd,speed,str,dex,con,int,wis,cha,proficiencies,natw-name,natw-damages,natw-damage-type,attributes,natw-property,natw-amp,natw-propParamName,natw-propParamValue,action,action-script,action-cooldown,action-charges,action-range,action-bonus,action-hostile,action-param-key,action-param-value,traits,def-property,def-amp,def-propParamName,def-propParamValue,equipment
"output(); id(value); c={ entityType: 'ENTITY_TYPE_CREATURE', classType: 'CLASS_TYPE_MONSTER', proficiencies: ['PROFICIENCY_WEAPON_NATURAL', 'PROFICIENCY_WEAPON_SIMPLE', 'PROFICIENCY_WEAPON_MARTIAL', 'PROFICIENCY_ARMOR_LIGHT', 'PROFICIENCY_ARMOR_MEDIUM', 'PROFICIENCY_ARMOR_HEAVY', 'PROFICIENCY_SHIELD'], abilities: {}, equipment: [], properties: [], actions: [], feats: [] }","c.specie = ref(value, 'SPECIE')",c.armorClass=value,c.level=value,c.hitDie=value,c.speed=value,c.abilities.strength=value,c.abilities.dexterity=value,c.abilities.constitution=value,c.abilities.intelligence=value,c.abilities.wisdom=value,c.abilities.charisma=value,"c.proficiencies.push(ref(value, 'PROFICIENCY'))","c.equipment.push({ entityType: 'ENTITY_TYPE_ITEM', itemType: 'ITEM_TYPE_WEAPON', tag: 'natural-weapon-' + value, proficiency: 'PROFICIENCY_WEAPON_NATURAL', weight: 0, size: 'WEAPON_SIZE_SMALL', attributes: [], damages: '1d3', damageType: 'DAMAGE_TYPE_CRUSHING', properties: [], equipmentSlots: ['EQUIPMENT_SLOT_NATURAL_WEAPON_1', 'EQUIPMENT_SLOT_NATURAL_WEAPON_2', 'EQUIPMENT_SLOT_NATURAL_WEAPON_3'], attributes: [] })",last(c.equipment).damages=value,"last(c.equipment).damageType=ref(value, 'DAMAGE_TYPE')","last(c.equipment).attributes.push(ref(value, 'WEAPON_ATTRIBUTE'))","last(c.equipment).properties.push({ type: ref(value, 'property') })",last(last(c.equipment).properties).amp=value,,kv(last(last(c.equipment).properties)),"c.actions.push({ id: value, actionType: 'ACTION_TYPE_SPELL_LIKE_ABILITY', script: '', bonus: false, hostile: false, range: Infinity, parameters: {} })",last(c.actions).script=value,last(c.actions).cooldown=value,last(c.actions).charges=value,last(c.actions).range=value,last(c.actions).bonus = value === 'TRUE',last(c.actions).hostile = value === 'TRUE',,kv(last(c.actions).parameters),if (!('extends' in c)) { c.extends=[] } c.extends.push(value),"c.properties.push({ type: ref(value, 'property') })",last(c.properties).amp= value,,kv(last(c.properties)),c.equipment.push(value)
c-basilisk,monstrosity,6,8,8,20,16,8,15,2,8,7,,bite,2d6,piercing,,,,,,act-petrifying-gaze,ca-petrifying-gaze,2,,30,FALSE,TRUE,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-basilisk-greater,monstrosity,6,12,8,20,16,8,15,2,8,7,,bite,2d6,piercing,,ailment,1d4,ailment,AILMENT_POISON,act-petrifying-gaze,ca-petrifying-gaze,2,,30,FALSE,TRUE,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_POISON,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,duration,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-centaur,monstrosity,0,6,10,50,18,14,14,9,13,10,,hooves,2d6,crushing,,,,,,,,,,,,,,,,attack-count-modifier,1,,,wpn-long-bow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ammo-arrow
