weapon-type,proficiency,damages,damageType,weight,size,attributes,slot,property,amp,propParamName,propParamValue
"output(); id(value); c={ entityType: ""ENTITY_TYPE_PARTIAL_ITEM"", itemType: ""ITEM_TYPE_WEAPON"", proficiency: """", damages: """", damageType: """", weight: 0, size: """", attributes: [], properties: [], equipmentSlots: [] }",c.proficiency=ref(value),c.damages=ref(value),"c.damageType= ref(value, 'damage_type')","c.weight=parseFloat(value.toString().replace(/,/g, '.'))","c.size=ref(value, 'weapon_size')","c.attributes.push(ref(value, 'weapon_attribute'));","c.equipmentSlots.push(ref(value, 'equipment_slot'))","c.properties.push({ type: ref(value, 'property') })",last(c.properties).amp = value,,kv(last(c.properties))
wpn-type-dagger,simple,1d4,piercing,1,small,finesse,melee,extra-weapon-damage-type,,damageType,DAMAGE_TYPE_SLASHING
wpn-type-club,simple,1d4,crushing,3,small,,melee,,,,
wpn-type-short-sword,martial,1d6,piercing,2,small,finesse,melee,,,,
wpn-type-long-sword,martial,1d8,slashing,3,medium,versatile,melee,,,,
wpn-type-battle-axe,martial,1d10,slashing,4,medium,versatile,melee,,,,
wpn-type-great-axe,martial,1d12,slashing,14,large,two-handed,melee,,,,
wpn-type-heavy-crossbow,simple,1d10,piercing,18,large,two-handed,ranged,,,,
,,,,,,ammunition,,,,,
,,,,,,loading,,,,,
,,,,,,ranged,,,,,
wpn-type-light-crossbow,simple,1d8,piercing,5,medium,two-handed,ranged,,,,
,,,,,,ammunition,,,,,
,,,,,,loading,,,,,
,,,,,,ranged,,,,,
wpn-type-short-bow,martial,1d6,piercing,2,medium,two-handed,ranged,,,,
,,,,,,ranged,,,,,
,,,,,,ammunition,,,,,
wpn-type-long-bow,martial,1d8,piercing,4,large,two-handed,ranged,,,,
,,,,,,ranged,,,,,
,,,,,,ammunition,,,,,
wpn-type-quarterstaff,simple,1d6,crushing,4,medium,versatile,melee,,,,
wpn-type-mace,simple,1d6,crushing,4,small,,melee,,,,
wpn-type-short-spear,simple,1d8,piercing,3,medium,reach,melee,,,,
,,,,,,versatile,,,,,
wpn-type-morgenstern,martial,1d8,crushing,6,medium,,melee,extra-weapon-damage-type,,damageType,DAMAGE_TYPE_PIERCING
wpn-type-halberd,martial,1d10,slashing,12,large,reach,melee,extra-weapon-damage-type,,damageType,DAMAGE_TYPE_PIERCING
,,,,,,two-handed,,,,,
