weapon,type,property,amp,propParamName,propParamValue
"output(); id(value); c={ entityType: ""ENTITY_TYPE_ITEM"", extends:[], properties: [] }",c.extends.push(value),"c.properties.push({ type: ref(value, 'property') })",last(c.properties).amp = value,,kv(last(c.properties))
wpn-battle-axe,wpn-type-battle-axe,,,,
wpn-club,wpn-type-club,,,,
wpn-dagger,wpn-type-dagger,,,,
wpn-great-axe,wpn-type-great-axe,,,,
wpn-heavy-crossbow,wpn-type-heavy-crossbow,,,,
wpn-light-crossbow,wpn-type-light-crossbow,,,,
wpn-long-bow,wpn-type-long-bow,,,,
wpn-long-sword,wpn-type-long-sword,,,,
wpn-mace,wpn-type-mace,,,,
wpn-quarterstaff,wpn-type-quarterstaff,,,,
wpn-short-bow,wpn-type-short-bow,,,,
wpn-short-spear,wpn-type-short-spear,,,,
wpn-short-sword,wpn-type-short-sword,,,,
wpn-morgenstern,wpn-type-morgenstern,,,,
wpn-halberd,wpn-type-halberd,,,,
wpn-battle-axe-hq,wpn-type-battle-axe,attack-modifier,1,,
wpn-dagger-hq,wpn-type-dagger,attack-modifier,1,,
wpn-great-axe-hq,wpn-type-great-axe,attack-modifier,1,,
wpn-heavy-crossbow-hq,wpn-type-heavy-crossbow,attack-modifier,1,,
wpn-light-crossbow-hq,wpn-type-light-crossbow,attack-modifier,1,,
wpn-long-bow-hq,wpn-type-long-bow,attack-modifier,1,,
wpn-long-sword-hq,wpn-type-long-sword,attack-modifier,1,,
wpn-mace-hq,wpn-type-mace,attack-modifier,1,,
wpn-quarterstaff-hq,wpn-type-quarterstaff,attack-modifier,1,,
wpn-short-bow-hq,wpn-type-short-bow,attack-modifier,1,,
wpn-short-spear-hq,wpn-type-short-spear,attack-modifier,1,,
wpn-short-sword-hq,wpn-type-short-sword,attack-modifier,1,,
wpn-morgenstern-hq,wpn-type-morgenstern,attack-modifier,1,,
wpn-halberd-hq,wpn-type-halberd,attack-modifier,1,,
wpn-battle-axe-p1,wpn-type-battle-axe,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-dagger-p1,wpn-type-dagger,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-great-axe-p1,wpn-type-great-axe,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-heavy-crossbow-p1,wpn-type-heavy-crossbow,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-light-crossbow-p1,wpn-type-light-crossbow,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-long-bow-p1,wpn-type-long-bow,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-long-sword-p1,wpn-type-long-sword,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-mace-p1,wpn-type-mace,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-quarterstaff-p1,wpn-type-quarterstaff,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-short-bow-p1,wpn-type-short-bow,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-short-spear-p1,wpn-type-short-spear,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-short-sword-p1,wpn-type-short-sword,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-morgenstern-p1,wpn-type-morgenstern,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-halberd-p1,wpn-type-halberd,attack-modifier,1,,
,,weapon-damage-modifier,1,,
wpn-battle-axe-p2,wpn-type-battle-axe,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-dagger-p2,wpn-type-dagger,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-great-axe-p2,wpn-type-great-axe,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-heavy-crossbow-p2,wpn-type-heavy-crossbow,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-light-crossbow-p2,wpn-type-light-crossbow,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-long-bow-p2,wpn-type-long-bow,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-long-sword-p2,wpn-type-long-sword,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-mace-p2,wpn-type-mace,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-quarterstaff-p2,wpn-type-quarterstaff,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-short-bow-p2,wpn-type-short-bow,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-short-spear-p2,wpn-type-short-spear,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-short-sword-p2,wpn-type-short-sword,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-morgenstern-p2,wpn-type-morgenstern,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-halberd-p2,wpn-type-halberd,attack-modifier,2,,
,,weapon-damage-modifier,2,,
wpn-mace-deva,wpn-type-mace,damage-modifier,4d8,damageType,DAMAGE_TYPE_RADIANT
,,attack-modifier,2,,
wpn-long-sword-wight,wpn-type-long-sword,vampyre,1,damageType,DAMAGE_TYPE_WITHERING
,,damage-modifier,1d6,damageType,DAMAGE_TYPE_WITHERING
