id,specie,size,ac,body,senses,mind,presence,proficiency,natw-name,natw-damages,natw-damage-type,natw-attribute,natw-property,natw-amp,natw-paramName,natw-paramValue,action,action-script,action-cooldown,action-charges,action-range,action-bonus,action-hostile,traits,def-property,def-amp,def-paramName,def-paramValue,equipment
c-basilisk,monstrosity,,6,16,8,4,7,,bite,2d6,piercing,,,,,,act-petrifying-gaze,ca-petrifying-gaze,2,,30,FALSE,TRUE,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-basilisk-greater,monstrosity,,6,16,8,4,7,,bite,2d6,piercing,,ailment,1d4,ailment,AILMENT_POISON,act-petrifying-gaze,ca-petrifying-gaze,2,,30,FALSE,TRUE,,darkvision,,,,
,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,,,,,,
,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_POISON,,,,,,,,,,,,,
,,,,,,,,,,,,,,,duration,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-centaur,monstrosity,,0,17,14,10,11,,hooves,2d6,crushing,,,,,,,,,,,,,,attack-count-modifier,1,,,wpn-long-bow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ammo-arrow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-spear
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-chimera,monstrosity,,4,19,11,7,11,,bite,2d6,piercing,,ailment,1d4,ailment,AILMENT_POISON,act-elemental-breath,ca-elemental-breath,6,,15,FALSE,TRUE,,attack-count-modifier,2,,,
,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,,,,,,
,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_POISON,,,,,,,,,,,,,
,,,,,,,,,,,,,,,duration,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,claws,2d6,slashing,,,,,,,,,,,,,,,,,,
,,,,,,,,,horns,1d14,crushing,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-cockatrice,monstrosity,,0,8,12,6,8,,bite,1d4,piercing,,ailment,,ailment,AILMENT_PETRIFICATION,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,,,,,,
,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_PETRIFICATION,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-dragon-red,dragon,,9,26,10,15,18,,bite,2d10,piercing,,damage-modifier,4d6,damageType,DAMAGE_TYPE_FIRE,act-elemental-breath,ca-elemental-breath,6,,60,FALSE,TRUE,,damage-immunity,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,claws,2d6,slashing,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,tail,2d8,crushing,reach,,,,,act-frightful-roar,ca-frightful-presence,6,,60,FALSE,TRUE,,attack-count-modifier,2,,,
,,,,,,,,,,,,,,,,,act-wing-buffet,ca-wing-buffet,6,,20,FALSE,TRUE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-dragon-red-ancient,dragon,,12,30,10,17,20,,bite,2d10,piercing,,damage-modifier,4d6,damageType,DAMAGE_TYPE_FIRE,act-elemental-breath,ca-elemental-breath,6,,90,FALSE,TRUE,,damage-immunity,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,claws,2d6,slashing,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,tail,2d8,crushing,reach,,,,,act-frightful-roar,ca-frightful-presence,6,,60,FALSE,TRUE,,attack-count-modifier,2,,,
,,,,,,,,,,,,,,,,,act-wing-buffet,ca-wing-buffet,6,,20,FALSE,TRUE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-gargoyle,elemental,,5,15,11,8,8,,claws,1d6,slashing,,,,,,,,,,,,,,immunity,,immunityType,IMMUNITY_TYPE_PETRIFICATION,
,,,,,,,,,bite,1d6,piercing,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-ghast,undead,,0,14,17,11,9,,claws,2d6,slashing,,ailment,,ailment,AILMENT_PARALYSIS,act-stench,ca-stench,2,,10,FALSE,TRUE,cp-undead-corporeal,,,,,
,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,,,,,,
,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_PARALYSIS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,duration,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,bite,2d8,piercing,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-ghoul,undead,,0,12,15,8,7,,bite,2d6,piercing,,,,,,,,,,,,,cp-undead-corporeal,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,claws,2d4,slashing,,ailment,,ailment,AILMENT_PARALYSIS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,,,,,,
